path,bytes,jsonBytes,binBytes,jsonSharePct,gzipBytes,gzipReductionPct,gzipEncodeMs,gzipDecodeMs,brotliBytes,brotliReductionPct,brotliEncodeMs,brotliDecodeMs,nodes,meshes,accessors,animations,materials,extensionsUsed,sha256
assets/avatars/avatar-tech-v1/avatar-tech-v1-lod0.glb,55736,47176,8532,84.64,8393,84.94,3.529,0.143,6611,88.14,121.428,0.13,87,14,138,18,14,[],0642758926418d9bf205b1bf206d863f7d5f965467355504287195bd1680e47e
assets/avatars/avatar-tech-v1/avatar-tech-v1-lod1.glb,55088,46528,8532,84.46,8260,85.01,3.068,0.152,6468,88.26,109.859,0.12,80,14,138,18,14,[],8ba2b5f938f5bb065eb476d16012117e251df475f55311f0d8648976bb930dbe
assets/avatars/avatar-tech-v1/avatar-tech-v1-lod2.glb,54284,45724,8532,84.23,8125,85.03,2.919,0.141,6368,88.27,115.95,0.121,71,14,138,18,14,[],7ac61510069795fbae68ce7960ffdc076c5fb7574f05a780c2602505c71ffe79
assets/equipment/models/acrobat-digital.glb,2932,2256,648,76.94,944,67.8,0.151,0.012,780,73.4,7.642,0.015,8,3,3,0,3,[],73dd6f4ab265a817d4f959ec6675d0aeb43ab621863471a966e97eec6ebc51d8
assets/equipment/models/armor-tech-red.glb,2940,2264,648,77.01,949,67.72,0.124,0.013,772,73.74,6.173,0.015,8,3,3,0,3,[],f51c2f6da219f1331a04ee1cb8de9d66641eb6fdd1355b59f5f63e58bb9d1ca1
assets/equipment/models/backpack-nexus.glb,3028,2352,648,77.68,932,69.22,0.119,0.013,764,74.77,6.037,0.015,6,4,3,0,4,[],615f8d1391204d51a7568083c277ffb512c1f9f7f336459e44134e5190332652
assets/equipment/models/backpack-scholar.glb,3392,2716,648,80.07,997,70.61,0.123,0.013,802,76.36,6.777,0.015,7,5,3,0,5,[],1c8e2d15f4c2ff7c62b81425417aeb4accb731733200b3643d2668139e0f094b
assets/equipment/models/boots-pulse.glb,2628,1952,648,74.28,889,66.17,0.111,0.012,729,72.26,5.477,0.014,4,3,3,0,3,[],581bb874c48638b4d0d9b7275303ec2c30ded3951db87fd93057236e6d085b39
assets/equipment/models/cap-code.glb,2572,1896,648,73.72,863,66.45,0.109,0.012,702,72.71,5.405,0.014,4,3,3,0,3,[],34943b51ae6a3aa6c776a15ee14c940df55bff2dc2786839d520f48da418f1a8
assets/equipment/models/companion-cube.glb,3044,2368,648,77.79,940,69.12,0.116,0.013,766,74.84,6.266,0.014,6,4,3,0,4,[],8e9f07f57e1ee9f9c28487d912e0377aeb9d9c5c0d7d432d994226d2eb3afe45
assets/equipment/models/compass-quantum.glb,3036,2360,648,77.73,999,67.09,0.117,0.013,809,73.35,6.306,0.015,5,4,3,0,4,[],dc73ce415813d63c740a42e3420aabfa670e358ac9fee1c4fca3f2a7e450bf4a
assets/equipment/models/drone-iris.glb,3192,2516,648,78.82,968,69.67,0.118,0.013,795,75.09,6.356,0.015,8,4,3,0,4,[],d934f09b4154b49eed009066f35275348af4fcdd6456cd98826e2926ae0bfeff
assets/equipment/models/glasses-spectrum.glb,2776,2100,648,75.65,908,67.29,0.111,0.012,737,73.45,5.643,0.014,6,3,3,0,3,[],ec20add3f523aa13baeeb72566bb3fd30fa925f9b666ae706755c6ba8aa19392
assets/equipment/models/guardian-night.glb,2892,2216,648,76.63,962,66.74,0.114,0.013,779,73.06,5.803,0.015,7,3,3,0,3,[],6c7bce181350b79d587ac22fef6722420fca58f78907f72d9909ae0439251758
assets/equipment/models/guardian-star.glb,2844,2168,648,76.23,928,67.37,0.112,0.012,764,73.14,5.794,0.014,7,3,3,0,3,[],bca4ed0c0f34442de900e8e752c7bc292e5cc595ed1968437e86741a50182018
assets/equipment/models/hair-cyan-stripe.glb,2424,1748,648,72.11,873,63.99,0.108,0.012,706,70.87,5.193,0.013,5,2,3,0,2,[],3904fd04f47abefd6e68ae5ae90d5cfc6d612c6dc26bbff4d1885131b5972abd
assets/equipment/models/hair-neon-braid.glb,2932,2256,648,76.94,999,65.93,0.119,0.013,815,72.2,6.022,0.015,7,3,3,0,3,[],b295f9fd9517c882d536670f727bc69667193fd4fa6d529403b2e7ecb773f429
assets/equipment/models/hair-wave-dark.glb,2708,2032,648,75.04,982,63.74,0.113,0.013,795,70.64,5.518,0.015,7,2,3,0,2,[],cd28a1e438acc86c257d3490bc92f4a7e53fa2331b18b97d57aa1186d23fe12e
assets/equipment/models/hammer-thunder.glb,2960,2284,648,77.16,937,68.34,0.114,0.012,761,74.29,6.088,0.014,5,4,3,0,4,[],26c9c61700c1f14f4e554b87676b0de20398ec7c344270ec8bcc74f86e060a09
assets/equipment/models/helmet-orbit.glb,3040,2364,648,77.76,963,68.32,0.117,0.013,786,74.14,6.13,0.014,6,4,3,0,4,[],af0e6616b9f16cc8f7181f8116376d2e877ce138e4374e449adc5a691c9bd192
assets/equipment/models/hoverboard-neon.glb,2692,2016,648,74.89,894,66.79,0.11,0.012,723,73.14,5.606,0.014,5,3,3,0,3,[],2a9dd7632cc062ca53963b0c14f2d7200400e26302778c7ef12f90824d69d5eb
assets/equipment/models/jacket-neon.glb,3056,2380,648,77.88,987,67.7,0.116,0.013,806,73.63,6.189,0.015,8,3,3,0,3,[],bbc4e3409c4384a89aa2d35a6e89ca733b744b2903dd095c4b05bf66028eabab
assets/equipment/models/jetpack-orbit.glb,3132,2456,648,78.42,962,69.28,0.118,0.013,770,75.42,6.333,0.015,7,4,3,0,4,[],0384d02bedbc13d28026de82be3982ea3a0429ed403652d5ff9a3258447896ef
assets/equipment/models/mystic-arcane.glb,3256,2580,648,79.24,1035,68.21,0.124,0.013,834,74.39,6.612,0.015,8,4,3,0,4,[],835662a14120854188cde72a478450fe843881c407f6c8c7cf656f1fec1777ae
assets/equipment/models/notebook-holo.glb,2864,2188,648,76.4,969,66.17,0.115,0.013,787,72.52,7.103,0.018,5,3,3,0,3,[],b5a5127d60236bccb0333178e3c2f07cdd5d3fc1d33e44109e404d53e06f2809
assets/equipment/models/rocket-pioneer.glb,3136,2460,648,78.44,983,68.65,0.12,0.015,790,74.81,6.265,0.014,7,4,3,0,4,[],a795814274c42d5b6ca10cb1204ebc2954fc6d0dd8af4d062aeddc4078ce457a
assets/equipment/models/scanner-prisma.glb,2960,2284,648,77.16,944,68.11,0.115,0.013,771,73.95,5.905,0.015,5,4,3,0,4,[],d7d4f75920e2e52b3565f6256bdc4eb225c28679f5919a6a23c4a15c39ea965e
assets/equipment/models/shield-sentinel.glb,2684,2008,648,74.81,886,66.99,0.109,0.012,725,72.99,5.587,0.014,5,3,3,0,3,[],7753c1c8923cd1248e4295387ed9197bcf037dc5ed189cb3f75ae298947c1e6f
assets/equipment/models/shield-star.glb,2832,2156,648,76.13,919,67.55,0.111,0.012,747,73.62,5.769,0.014,7,3,3,0,3,[],3e424b756133252ae2db4c32eccbe167b4492cd217e8a66c165f152fa80da7b9
assets/equipment/models/shirt-code-grid.glb,2768,2092,648,75.58,905,67.3,0.109,0.012,734,73.48,5.603,0.014,6,3,3,0,3,[],60994d9f9fb1be8ffb2a1534eda8f64345580a7c4a74c84da4dc8366e3e3cc54
assets/equipment/models/shoulder-orb.glb,2676,2000,648,74.74,930,65.25,0.111,0.013,749,72.01,5.841,0.014,4,3,3,0,3,[],da84018d354b2a0ef5d053f427a40975bd1df7a0e8a8b3f21c0b480dd06b6d45
assets/equipment/models/skateboard-byte.glb,2868,2192,648,76.43,905,68.44,0.112,0.012,731,74.51,5.803,0.014,7,3,3,0,3,[],88da2d51237974fdb421bc038c4c4bdf1c0a44e7302c6688de5f2704dd1f1b87
assets/equipment/models/staff-arcane.glb,2716,2040,648,75.11,963,64.54,0.111,0.012,790,70.91,5.695,0.014,4,3,3,0,3,[],3995cae849977344a7846d55d1c0498ca93ab1f099c72f6c2a970b3398d0c7ef
assets/equipment/models/thunder-warrior.glb,3076,2400,648,78.02,1003,67.39,0.12,0.013,814,73.54,6.098,0.015,9,3,3,0,3,[],9f6c43fe718c2f645172fe217e945116e3f50821264c58552cbc77b40d6c952c
assets/equipment/models/uniform-brazil-tech.glb,2872,2196,648,76.46,949,66.96,0.116,0.013,768,73.26,5.816,0.014,7,3,3,0,3,[],0ad9b80ec7eb7aa7973ccf18937a1607c28a86febd68fb3ce5a35e3bd7072dec
assets/equipment/models/uniform-spain-tech.glb,2864,2188,648,76.4,936,67.32,0.113,0.013,766,73.25,5.716,0.014,7,3,3,0,3,[],ad2d0b8cf4062f0a948b10391ab620ee0f1eb88a65974fb7a9bf95d7819e8911
assets/equipment/models/uniform-uk-tech.glb,2932,2256,648,76.94,956,67.39,0.116,0.013,779,73.43,5.918,0.015,8,3,3,0,3,[],19a090d15c74b6a7946ce2e58acfd339af6588bc25c26baa6f05d022d31b095c
assets/equipment/models/uniform-usa-tech.glb,2848,2172,648,76.26,930,67.35,0.111,0.012,754,73.53,5.757,0.014,7,3,3,0,3,[],9d57f8939a0f124a83ab300c6e686a5b7b62dc34e15b6b1b5108190eee5d12eb
assets/equipment/models/visor-holo.glb,2696,2020,648,74.93,904,66.47,0.111,0.013,735,72.74,5.396,0.014,5,3,3,0,3,[],11827d899d8c4395faebeb9656b256f0491d4aec4da01a94789dc7116d452c39
