source,category,sourceBytes,referencePngBytes,width,height,hasAlpha,variant,format,path,bytes,reductionVsSourcePct,encodeMs,decodeMs,psnrDb,ssim,alphaMae,sha256
assets/concepts/style-guide-avatar-ui.png,documentation,2012848,2261972,1448,1086,False,webp-lossless,webp,lab/formats/image-formats/style-guide-avatar-ui/style-guide-avatar-ui-webp-lossless.webp,1599986,20.51,1670.64,75.771,99.0,1.0,0.0,78e194404da7f97d1a3940db514fe01c177a9cf6ccdcedb99223d89bc2460940
assets/concepts/style-guide-avatar-ui.png,documentation,2012848,2261972,1448,1086,False,webp-q90,webp,lab/formats/image-formats/style-guide-avatar-ui/style-guide-avatar-ui-webp-q90.webp,256264,87.27,217.97,54.085,40.355,0.977601,0.0,265cfd2939a39cf3390cae59cb297c3a9879d90039cd5fb55eca1a4b444c5f40
assets/concepts/style-guide-avatar-ui.png,documentation,2012848,2261972,1448,1086,False,webp-q80,webp,lab/formats/image-formats/style-guide-avatar-ui/style-guide-avatar-ui-webp-q80.webp,170548,91.53,195.12,26.651,38.642,0.970865,0.0,423b49e1a2c2d484b173597243a70d57050f2e87eeede0e95470ae9fc48b39f6
assets/concepts/style-guide-avatar-ui.png,documentation,2012848,2261972,1448,1086,False,avif-q80,avif,lab/formats/image-formats/style-guide-avatar-ui/style-guide-avatar-ui-avif-q80.avif,270990,86.54,109.85,20.698,40.33,0.98043,0.0,47ccb0308426ad62b13327e4ccd6387cbdcb3ec510077df74cf2a5722a7271f2
assets/previews/v0.7.0-performance.png,documentation,695440,757328,1440,861,False,webp-lossless,webp,lab/formats/image-formats/v0.7.0-performance/v0.7.0-performance-webp-lossless.webp,493518,29.04,820.72,24.265,99.0,1.0,0.0,bf50ba500569cb09df2b6b36b27d3837223627d9308c537a85c033fe1c35e513
assets/previews/v0.7.0-performance.png,documentation,695440,757328,1440,861,False,webp-q90,webp,lab/formats/image-formats/v0.7.0-performance/v0.7.0-performance-webp-q90.webp,86578,87.55,136.02,17.136,45.855,0.992102,0.0,53cc5c3969ee1a44609901085f8e7a99c4fedfe332d434d7dec4f430e6c95cd4
assets/previews/v0.7.0-performance.png,documentation,695440,757328,1440,861,False,webp-q80,webp,lab/formats/image-formats/v0.7.0-performance/v0.7.0-performance-webp-q80.webp,63108,90.93,150.57,15.466,43.866,0.988082,0.0,7de8467efdae91e9872a6bd5c67b378831b917508c76893f57f077f2bc4899c6
assets/previews/v0.7.0-performance.png,documentation,695440,757328,1440,861,False,avif-q80,avif,lab/formats/image-formats/v0.7.0-performance/v0.7.0-performance-avif-q80.avif,123366,82.26,37.2,16.595,45.376,0.992618,0.0,1fa6be3af2c78c1c2f8ac2ee11438e3de47e28dd3f1942789f836d0553da002e
assets/materials/png/fabric.png,material-reference,64693,67900,256,256,False,webp-lossless,webp,lab/formats/image-formats/fabric/fabric-webp-lossless.webp,31512,51.29,20.34,1.04,99.0,1.0,0.0,20a101100aca486c2faf3b81ccf106891cc19ea0ad78d32d1210ab089ab15324
assets/materials/png/fabric.png,material-reference,64693,67900,256,256,False,webp-q90,webp,lab/formats/image-formats/fabric/fabric-webp-q90.webp,24154,62.66,13.25,2.829,36.66,0.970005,0.0,dcd1924e2cb689b5369d47357f892765793a2f6abbef04929309b0989cd7dcde
assets/materials/png/fabric.png,material-reference,64693,67900,256,256,False,webp-q80,webp,lab/formats/image-formats/fabric/fabric-webp-q80.webp,16490,74.51,12.02,2.293,33.8,0.941993,0.0,7c313004cdb75e48b8b33ab2f2b86cea0dd223497d3e326bd48092b0d0c731ab
assets/materials/png/holographic.png,material-reference,2143,2619,256,256,False,webp-lossless,webp,lab/formats/image-formats/holographic/holographic-webp-lossless.webp,730,65.94,21.43,0.723,99.0,1.0,0.0,fe4dde711fdf72d862e685bb6848090ab4c20ca4085adbe12e16fa2c2796e7eb
assets/materials/png/holographic.png,material-reference,2143,2619,256,256,False,webp-q90,webp,lab/formats/image-formats/holographic/holographic-webp-q90.webp,2738,-27.76,8.91,0.972,44.585,0.979429,0.0,8b3106ae13cbdaee44136046c0a393cf7c33cdee7e535e230ceaae258d475214
assets/materials/png/holographic.png,material-reference,2143,2619,256,256,False,webp-q80,webp,lab/formats/image-formats/holographic/holographic-webp-q80.webp,1942,9.38,7.24,0.967,42.271,0.967953,0.0,9b245c06aa908a0f8d68fc9229ca9a9e6df199ad4d448602d4dfbeb6f53cf372
assets/vfx/previews/vfx-fireworks-orbit.png,vfx-preview,95813,102609,720,720,True,webp-lossless,webp,lab/formats/image-formats/vfx-fireworks-orbit/vfx-fireworks-orbit-webp-lossless.webp,60436,36.92,371.53,5.325,99.0,1.0,0.0,3401950a406edfc7905a09656ee85a61d9b34a546981185c502c48f411195cd4
assets/vfx/previews/vfx-fireworks-orbit.png,vfx-preview,95813,102609,720,720,True,webp-q90,webp,lab/formats/image-formats/vfx-fireworks-orbit/vfx-fireworks-orbit-webp-q90.webp,67848,29.19,155.6,10.476,32.51,0.972473,0.0,ba483498babdde6b6d190811b77a7313353644f0f9f444545d8724dffc97753f
assets/vfx/previews/vfx-fireworks-orbit.png,vfx-preview,95813,102609,720,720,True,webp-q80,webp,lab/formats/image-formats/vfx-fireworks-orbit/vfx-fireworks-orbit-webp-q80.webp,56684,40.84,162.04,9.944,32.191,0.968029,0.0,030952898b1d879cead4d7a115ee61ecbf93f6bd49c3d43426993e4168e8c240
assets/vfx/previews/vfx-neon-glitch.png,vfx-preview,37211,40323,720,720,True,webp-lossless,webp,lab/formats/image-formats/vfx-neon-glitch/vfx-neon-glitch-webp-lossless.webp,19510,47.57,288.06,5.267,99.0,1.0,0.0,0df9e6cdc10966d0c4dc0468251d6fa1a2f18d829fd1318124a7f4488727e29b
assets/vfx/previews/vfx-neon-glitch.png,vfx-preview,37211,40323,720,720,True,webp-q90,webp,lab/formats/image-formats/vfx-neon-glitch/vfx-neon-glitch-webp-q90.webp,34858,6.32,141.7,9.138,32.963,0.973337,0.0,aacd8c0b721fa21a555006f5031cc6866e64705042ddd4dd9d74e3faa95b2107
assets/vfx/previews/vfx-neon-glitch.png,vfx-preview,37211,40323,720,720,True,webp-q80,webp,lab/formats/image-formats/vfx-neon-glitch/vfx-neon-glitch-webp-q80.webp,28432,23.59,133.33,9.164,32.828,0.970711,0.0,ac95f17757d29b21e1540c27096dd909f6a28179dbb95858ea64d9594e0eb215
assets/items/thumbnails/drone-iris.webp,store-thumbnail,23388,145203,512,512,True,webp-lossless,webp,lab/formats/image-formats/drone-iris/drone-iris-webp-lossless.webp,99194,-324.12,189.84,5.034,39.465,0.995686,0.0,a6f43d911cdfd22207c74be2e2b3f55fa5bc5ec09ed2ef28258a6fc2202cd8d4
assets/items/thumbnails/drone-iris.webp,store-thumbnail,23388,145203,512,512,True,webp-q90,webp,lab/formats/image-formats/drone-iris/drone-iris-webp-q90.webp,20854,10.83,35.33,4.176,43.174,0.991441,0.0,1aaacfba614c62d6792f7af0a78951cf37c011d1baf3b9c349be50f21b0e585b
assets/items/thumbnails/drone-iris.webp,store-thumbnail,23388,145203,512,512,True,webp-q80,webp,lab/formats/image-formats/drone-iris/drone-iris-webp-q80.webp,14012,40.09,33.68,3.684,38.947,0.965014,0.0,88db79e339462c443f7a037c8ba09c0f6b505e62546acc324c0a76c7f1c41800
assets/equipment/previews/mystic-arcane.webp,store-thumbnail,18914,94859,512,512,False,webp-lossless,webp,lab/formats/image-formats/mystic-arcane/mystic-arcane-webp-lossless.webp,70534,-272.92,170.55,3.615,99.0,1.0,0.0,050e01b3abd6343db8b47c653939f250e97c0ef8494b47267f8d77735f6a427f
assets/equipment/previews/mystic-arcane.webp,store-thumbnail,18914,94859,512,512,False,webp-q90,webp,lab/formats/image-formats/mystic-arcane/mystic-arcane-webp-q90.webp,19328,-2.19,24.91,3.52,39.147,0.991655,0.0,00a152ccf0d082a5426a076401d7e76900dc265b8ede3d15750fb3cce76f3213
assets/equipment/previews/mystic-arcane.webp,store-thumbnail,18914,94859,512,512,False,webp-q80,webp,lab/formats/image-formats/mystic-arcane/mystic-arcane-webp-q80.webp,15234,19.46,23.99,3.352,37.698,0.986608,0.0,9f36f5f1b28e5d41d2e2a69370d5fd24931089fd20d94251c0e27df7f817141d
